Gene	Name	Type
GLYMA_01G011400	GLYMA_01G011400	protein_coding
GLYMA_01G011500	GLYMA_01G011500	protein_coding
GLYMA_01G011600	GLYMA_01G011600	protein_coding
GLYMA_01G011700	GLYMA_01G011700	protein_coding
GLYMA_01G011800	GLYMA_01G011800	protein_coding
GLYMA_01G011900	GLYMA_01G011900	protein_coding
GLYMA_01G012000	GLYMA_01G012000	protein_coding
GLYMA_01G012100	GLYMA_01G012100	protein_coding
GLYMA_01G012200	GLYMA_01G012200	protein_coding
GLYMA_01G012300	GLYMA_01G012300	protein_coding
GLYMA_01G012400	GLYMA_01G012400	protein_coding
GLYMA_01G012500	GLYMA_01G012500	protein_coding
GLYMA_01G012600	GLYMA_01G012600	protein_coding
GLYMA_01G012700	GLYMA_01G012700	protein_coding
GLYMA_01G012800	GLYMA_01G012800	protein_coding
GLYMA_01G012900	GLYMA_01G012900	protein_coding
GLYMA_01G013000	GLYMA_01G013000	protein_coding
GLYMA_01G013100	GLYMA_01G013100	protein_coding
GLYMA_01G013200	GLYMA_01G013200	protein_coding
GLYMA_01G013300	GLYMA_01G013300	protein_coding
GLYMA_01G013400	GLYMA_01G013400	protein_coding
GLYMA_01G013500	GLYMA_01G013500	protein_coding
GLYMA_01G013600	GLYMA_01G013600	protein_coding
GLYMA_01G013700	GLYMA_01G013700	protein_coding
GLYMA_01G013800	GLYMA_01G013800	protein_coding
GLYMA_01G013900	GLYMA_01G013900	protein_coding
GLYMA_01G014000	GLYMA_01G014000	protein_coding
GLYMA_01G014100	GLYMA_01G014100	protein_coding
GLYMA_01G014200	GLYMA_01G014200	protein_coding
GLYMA_01G014300	GLYMA_01G014300	protein_coding
GLYMA_01G014400	GLYMA_01G014400	protein_coding
GLYMA_01G014500	GLYMA_01G014500	protein_coding
GLYMA_01G014600	GLYMA_01G014600	protein_coding
GLYMA_01G014700	GLYMA_01G014700	protein_coding
GLYMA_01G014800	GLYMA_01G014800	protein_coding
GLYMA_01G014900	GLYMA_01G014900	protein_coding
GLYMA_01G015000	GLYMA_01G015000	protein_coding
GLYMA_01G015100	GLYMA_01G015100	protein_coding
GLYMA_01G015200	GLYMA_01G015200	protein_coding
GLYMA_01G015300	GLYMA_01G015300	protein_coding
GLYMA_01G015400	GLYMA_01G015400	protein_coding
GLYMA_01G015500	GLYMA_01G015500	protein_coding
GLYMA_01G015600	GLYMA_01G015600	protein_coding
GLYMA_01G015700	GLYMA_01G015700	protein_coding
GLYMA_01G015800	GLYMA_01G015800	protein_coding
GLYMA_01G015900	GLYMA_01G015900	protein_coding
GLYMA_01G016000	GLYMA_01G016000	protein_coding
GLYMA_01G016100	GLYMA_01G016100	protein_coding
GLYMA_01G016200	GLYMA_01G016200	protein_coding
GLYMA_01G016300	GLYMA_01G016300	protein_coding
GLYMA_01G016400	GLYMA_01G016400	protein_coding
GLYMA_01G016500	GLYMA_01G016500	protein_coding
GLYMA_01G016600	GLYMA_01G016600	protein_coding
GLYMA_01G016700	GLYMA_01G016700	protein_coding
GLYMA_01G016800	GLYMA_01G016800	protein_coding
GLYMA_01G016900	GLYMA_01G016900	protein_coding
GLYMA_01G017000	GLYMA_01G017000	protein_coding
GLYMA_01G017100	GLYMA_01G017100	protein_coding
GLYMA_01G017200	GLYMA_01G017200	protein_coding
GLYMA_01G017300	GLYMA_01G017300	protein_coding
GLYMA_01G017400	GLYMA_01G017400	protein_coding
GLYMA_01G017500	GLYMA_01G017500	protein_coding
GLYMA_01G017600	GLYMA_01G017600	protein_coding
GLYMA_01G017700	GLYMA_01G017700	protein_coding
GLYMA_01G017800	GLYMA_01G017800	protein_coding
GLYMA_01G017900	GLYMA_01G017900	protein_coding
GLYMA_01G018000	GLYMA_01G018000	protein_coding
GLYMA_01G018100	GLYMA_01G018100	protein_coding
GLYMA_01G018200	GLYMA_01G018200	protein_coding
GLYMA_01G018300	GLYMA_01G018300	protein_coding
GLYMA_01G018400	GLYMA_01G018400	protein_coding
GLYMA_01G018500	GLYMA_01G018500	protein_coding
GLYMA_01G018600	GLYMA_01G018600	protein_coding
GLYMA_01G018700	GLYMA_01G018700	protein_coding
GLYMA_01G018800	GLYMA_01G018800	protein_coding
GLYMA_01G018900	GLYMA_01G018900	protein_coding
GLYMA_01G019000	GLYMA_01G019000	protein_coding
GLYMA_01G019100	GLYMA_01G019100	protein_coding
GLYMA_01G019200	GLYMA_01G019200	protein_coding
GLYMA_01G019300	GLYMA_01G019300	protein_coding
GLYMA_01G019400	GLYMA_01G019400	protein_coding
GLYMA_01G019500	GLYMA_01G019500	protein_coding
GLYMA_01G019600	GLYMA_01G019600	protein_coding
GLYMA_01G019700	GLYMA_01G019700	protein_coding
GLYMA_01G019800	GLYMA_01G019800	protein_coding
GLYMA_01G019900	GLYMA_01G019900	protein_coding
GLYMA_01G020000	GLYMA_01G020000	protein_coding
GLYMA_01G020100	GLYMA_01G020100	protein_coding
GLYMA_01G020200	GLYMA_01G020200	protein_coding
GLYMA_01G020300	GLYMA_01G020300	protein_coding
GLYMA_01G020400	GLYMA_01G020400	protein_coding
GLYMA_01G020500	GLYMA_01G020500	protein_coding
GLYMA_01G020600	GLYMA_01G020600	protein_coding
GLYMA_01G020700	GLYMA_01G020700	protein_coding
GLYMA_01G020800	GLYMA_01G020800	protein_coding
GLYMA_01G020900	GLYMA_01G020900	protein_coding
GLYMA_01G021000	GLYMA_01G021000	protein_coding
GLYMA_01G021100	GLYMA_01G021100	protein_coding
GLYMA_01G021200	GLYMA_01G021200	protein_coding
GLYMA_01G021300	GLYMA_01G021300	protein_coding
GLYMA_01G021400	GLYMA_01G021400	protein_coding
GLYMA_01G021500	GLYMA_01G021500	protein_coding
GLYMA_01G021600	GLYMA_01G021600	protein_coding
GLYMA_01G021700	GLYMA_01G021700	protein_coding
GLYMA_01G021800	GLYMA_01G021800	protein_coding
GLYMA_01G021900	GLYMA_01G021900	protein_coding
GLYMA_01G022000	GLYMA_01G022000	protein_coding
GLYMA_01G022100	GLYMA_01G022100	protein_coding
GLYMA_01G022200	GLYMA_01G022200	protein_coding
GLYMA_01G022300	GLYMA_01G022300	protein_coding
GLYMA_01G022400	GLYMA_01G022400	protein_coding
GLYMA_01G022500	GLYMA_01G022500	protein_coding
GLYMA_01G022600	GLYMA_01G022600	protein_coding
GLYMA_01G022700	GLYMA_01G022700	protein_coding
GLYMA_01G022800	GLYMA_01G022800	protein_coding
GLYMA_01G022900	GLYMA_01G022900	protein_coding
GLYMA_01G023000	GLYMA_01G023000	protein_coding
GLYMA_01G023100	GLYMA_01G023100	protein_coding
GLYMA_01G023200	GLYMA_01G023200	protein_coding
GLYMA_01G023300	GLYMA_01G023300	protein_coding
GLYMA_01G023400	GLYMA_01G023400	protein_coding
GLYMA_01G023500	GLYMA_01G023500	protein_coding
GLYMA_01G023600	GLYMA_01G023600	protein_coding
GLYMA_01G023700	GLYMA_01G023700	protein_coding
GLYMA_01G023800	GLYMA_01G023800	protein_coding
GLYMA_01G023900	GLYMA_01G023900	protein_coding
GLYMA_01G024000	GLYMA_01G024000	protein_coding
GLYMA_01G024100	GLYMA_01G024100	protein_coding
GLYMA_01G024200	GLYMA_01G024200	protein_coding
