Gene	Name	Type
LOC124908622	LOC124908622	NA
LOC124908623	LOC124908623	NA
LOC124908678	LOC124908678	NA
LOC124909248	LOC124909248	NA
LOC124909245	LOC124909245	NA
LOC124909246	LOC124909246	NA
LOC124909247	LOC124909247	NA
LOC124909160	LOC124909160	NA
LOC124909068	LOC124909068	NA
LOC124909057	LOC124909057	NA
LOC124909061	LOC124909061	NA
LOC124909067	LOC124909067	NA
LOC124909063	LOC124909063	NA
LOC124909059	LOC124909059	NA
LOC124909066	LOC124909066	NA
LOC124909058	LOC124909058	NA
LOC124909056	LOC124909056	NA
LOC124909064	LOC124909064	NA
LOC124909062	LOC124909062	NA
LOC124909065	LOC124909065	NA
LOC124909060	LOC124909060	NA
LOC124909055	LOC124909055	NA
LOC124909144	LOC124909144	NA
LOC124909142	LOC124909142	NA
LOC124909145	LOC124909145	NA
LOC124909141	LOC124909141	NA
LOC124909143	LOC124909143	NA
LOC124909020	LOC124909020	NA
LOC124909022	LOC124909022	NA
LOC124909019	LOC124909019	NA
LOC124909021	LOC124909021	NA
LOC124909136	LOC124909136	NA
LOC124909138	LOC124909138	NA
LOC124909137	LOC124909137	NA
LOC124909135	LOC124909135	NA
LOC124909139	LOC124909139	NA
LOC124909168	LOC124909168	NA
LOC124909167	LOC124909167	NA
LOC124909166	LOC124909166	NA
LOC124909165	LOC124909165	NA
LOC124909164	LOC124909164	NA
LOC124909163	LOC124909163	NA
LOC124908652	LOC124908652	NA
LOC124908591	LOC124908591	NA
LOC124908592	LOC124908592	NA
LOC124908876	LOC124908876	NA
LOC124908875	LOC124908875	NA
LOC124908874	LOC124908874	NA
LOC124908873	LOC124908873	NA
LOC124908872	LOC124908872	NA
LOC124909189	LOC124909189	NA
LOC124909334	LOC124909334	NA
LOC124909333	LOC124909333	NA
LOC124909335	LOC124909335	NA
LOC124909269	LOC124909269	NA
LOC124909270	LOC124909270	NA
LOC124909271	LOC124909271	NA
LOC124909268	LOC124909268	NA
LOC124909282	LOC124909282	NA
LOC124908813	LOC124908813	NA
LOC124908815	LOC124908815	NA
LOC124908814	LOC124908814	NA
LOC124908804	LOC124908804	NA
LOC124908807	LOC124908807	NA
LOC124908810	LOC124908810	NA
LOC124908803	LOC124908803	NA
LOC124908812	LOC124908812	NA
LOC124908811	LOC124908811	NA
LOC124908809	LOC124908809	NA
LOC124908802	LOC124908802	NA
LOC124908805	LOC124908805	NA
LOC124908808	LOC124908808	NA
LOC124908806	LOC124908806	NA
LOC124908864	LOC124908864	NA
LOC124908865	LOC124908865	NA
LOC124908863	LOC124908863	NA
LOC124908861	LOC124908861	NA
LOC124908862	LOC124908862	NA
LOC124908583	LOC124908583	NA
LOC124908582	LOC124908582	NA
LOC124909279	LOC124909279	NA
LOC124909277	LOC124909277	NA
LOC124909280	LOC124909280	NA
LOC124909278	LOC124909278	NA
LOC124909281	LOC124909281	NA
LOC124909298	LOC124909298	NA
LOC124909299	LOC124909299	NA
LOC124908606	LOC124908606	NA
LOC124908919	LOC124908919	NA
LOC124908916	LOC124908916	NA
LOC124908922	LOC124908922	NA
LOC124908923	LOC124908923	NA
LOC124908918	LOC124908918	NA
LOC124908921	LOC124908921	NA
LOC124908920	LOC124908920	NA
LOC124908915	LOC124908915	NA
LOC124908917	LOC124908917	NA
LOC124908603	LOC124908603	NA
LOC124908605	LOC124908605	NA
LOC124908602	LOC124908602	NA
LOC124908604	LOC124908604	NA
LOC124909209	LOC124909209	NA
LOC124908635	LOC124908635	NA
LOC124908634	LOC124908634	NA
LOC124908641	LOC124908641	NA
LOC124908642	LOC124908642	NA
LOC124909236	LOC124909236	NA
LOC124909235	LOC124909235	NA
LOC124909234	LOC124909234	NA
LOC124908660	LOC124908660	NA
LOC124908661	LOC124908661	NA
LOC124909322	LOC124909322	NA
LOC124908649	LOC124908649	NA
LOC124908648	LOC124908648	NA
LOC124908754	LOC124908754	NA
LOC124908756	LOC124908756	NA
LOC124908752	LOC124908752	NA
LOC124908755	LOC124908755	NA
LOC124908753	LOC124908753	NA
LOC124908751	LOC124908751	NA
LOC124908750	LOC124908750	NA
LOC124908749	LOC124908749	NA
LOC124908748	LOC124908748	NA
LOC124908747	LOC124908747	NA
LOC124908746	LOC124908746	NA
LOC124908745	LOC124908745	NA
LOC124908743	LOC124908743	NA
LOC124908744	LOC124908744	NA
LOC124908742	LOC124908742	NA
LOC124908741	LOC124908741	NA
LOC124908739	LOC124908739	NA
LOC124908737	LOC124908737	NA
LOC124908740	LOC124908740	NA
LOC124908738	LOC124908738	NA
LOC124908736	LOC124908736	NA
LOC124908735	LOC124908735	NA
LOC124908732	LOC124908732	NA
LOC124908731	LOC124908731	NA
LOC124908733	LOC124908733	NA
LOC124908734	LOC124908734	NA
LOC124908730	LOC124908730	NA
LOC124908728	LOC124908728	NA
LOC124908727	LOC124908727	NA
LOC124908729	LOC124908729	NA
LOC124908726	LOC124908726	NA
LOC124908725	LOC124908725	NA
LOC124908724	LOC124908724	NA
LOC124908723	LOC124908723	NA
LOC124908720	LOC124908720	NA
LOC124908721	LOC124908721	NA
LOC124908722	LOC124908722	NA
LOC124908719	LOC124908719	NA
LOC124908718	LOC124908718	NA
LOC124908714	LOC124908714	NA
LOC124908717	LOC124908717	NA
LOC124908715	LOC124908715	NA
LOC124908716	LOC124908716	NA
LOC124908713	LOC124908713	NA
LOC124908712	LOC124908712	NA
LOC124908711	LOC124908711	NA
LOC124908710	LOC124908710	NA
LOC124908709	LOC124908709	NA
LOC124908707	LOC124908707	NA
LOC124908708	LOC124908708	NA
LOC124908704	LOC124908704	NA
LOC124908706	LOC124908706	NA
LOC124908705	LOC124908705	NA
LOC124908703	LOC124908703	NA
LOC124908702	LOC124908702	NA
LOC124908701	LOC124908701	NA
LOC124908700	LOC124908700	NA
LOC124908699	LOC124908699	NA
LOC124908698	LOC124908698	NA
LOC124908697	LOC124908697	NA
LOC124908695	LOC124908695	NA
LOC124908696	LOC124908696	NA
LOC124908694	LOC124908694	NA
LOC124908954	LOC124908954	NA
LOC124908952	LOC124908952	NA
LOC124908953	LOC124908953	NA
LOC124908951	LOC124908951	NA
LOC124909292	LOC124909292	NA
LOC124909175	LOC124909175	NA
LOC124908676	LOC124908676	NA
LOC124908647	LOC124908647	NA
LOC124908656	LOC124908656	NA
LOC124908655	LOC124908655	NA
LOC124908565	LOC124908565	NA
LOC124908675	LOC124908675	NA
LOC124908674	LOC124908674	NA
LOC124909046	LOC124909046	NA
LOC124908628	LOC124908628	NA
LOC124908619	LOC124908619	NA
LOC124909161	LOC124909161	NA
LOC124908610	LOC124908610	NA
LOC124908609	LOC124908609	NA
LOC124908780	LOC124908780	NA
LOC124909119	LOC124909119	NA
LOC124909182	LOC124909182	NA
LOC124908577	LOC124908577	NA
LOC124908665	LOC124908665	NA
LOC124908821	LOC124908821	NA
LOC124908830	LOC124908830	NA
LOC124908824	LOC124908824	NA
LOC124908820	LOC124908820	NA
LOC124908819	LOC124908819	NA
LOC124908828	LOC124908828	NA
LOC124908829	LOC124908829	NA
LOC124908827	LOC124908827	NA
LOC124908835	LOC124908835	NA
LOC124908834	LOC124908834	NA
LOC124908831	LOC124908831	NA
LOC124908832	LOC124908832	NA
LOC124908826	LOC124908826	NA
LOC124908833	LOC124908833	NA
LOC124908822	LOC124908822	NA
LOC124908816	LOC124908816	NA
LOC124908823	LOC124908823	NA
LOC124908836	LOC124908836	NA
LOC124908817	LOC124908817	NA
LOC124908825	LOC124908825	NA
LOC124908818	LOC124908818	NA
LOC124909132	LOC124909132	NA
LOC124909131	LOC124909131	NA
LOC124909130	LOC124909130	NA
LOC124909129	LOC124909129	NA
LOC124909126	LOC124909126	NA
LOC124909128	LOC124909128	NA
LOC124909127	LOC124909127	NA
LOC124908775	LOC124908775	NA
LOC124908774	LOC124908774	NA
LOC124908773	LOC124908773	NA
LOC124908772	LOC124908772	NA
LOC124908771	LOC124908771	NA
LOC124908770	LOC124908770	NA
LOC124908769	LOC124908769	NA
LOC124908768	LOC124908768	NA
LOC124908767	LOC124908767	NA
LOC124908766	LOC124908766	NA
LOC124908765	LOC124908765	NA
LOC124908762	LOC124908762	NA
LOC124908761	LOC124908761	NA
LOC124908763	LOC124908763	NA
LOC124908764	LOC124908764	NA
LOC124908760	LOC124908760	NA
LOC124908759	LOC124908759	NA
LOC124908758	LOC124908758	NA
LOC124908757	LOC124908757	NA
LOC124909217	LOC124909217	NA
LOC124909216	LOC124909216	NA
LOC124909222	LOC124909222	NA
LOC124909223	LOC124909223	NA
LOC124909224	LOC124909224	NA
LOC124909225	LOC124909225	NA
LOC124909221	LOC124909221	NA
LOC124909266	LOC124909266	NA
LOC124909267	LOC124909267	NA
LOC124909265	LOC124909265	NA
LOC124909262	LOC124909262	NA
LOC124909264	LOC124909264	NA
LOC124909263	LOC124909263	NA
LOC124909206	LOC124909206	NA
LOC124908935	LOC124908935	NA
LOC124908934	LOC124908934	NA
LOC124908933	LOC124908933	NA
LOC124908937	LOC124908937	NA
LOC124908936	LOC124908936	NA
LOC124908932	LOC124908932	NA
LOC124909140	LOC124909140	NA
LOC124908914	LOC124908914	NA
LOC124908910	LOC124908910	NA
LOC124908913	LOC124908913	NA
LOC124908912	LOC124908912	NA
LOC124908911	LOC124908911	NA
LOC124908671	LOC124908671	NA
LOC124909324	LOC124909324	NA
LOC124909253	LOC124909253	NA
LOC124909252	LOC124909252	NA
LOC124909250	LOC124909250	NA
LOC124909251	LOC124909251	NA
LOC124909309	LOC124909309	NA
LOC124908930	LOC124908930	NA
LOC124908925	LOC124908925	NA
LOC124908928	LOC124908928	NA
LOC124908924	LOC124908924	NA
LOC124908929	LOC124908929	NA
LOC124908927	LOC124908927	NA
LOC124908931	LOC124908931	NA
LOC124908926	LOC124908926	NA
LOC124909073	LOC124909073	NA
LOC124909072	LOC124909072	NA
LOC124909071	LOC124909071	NA
LOC124909070	LOC124909070	NA
LOC124908659	LOC124908659	NA
LOC124908658	LOC124908658	NA
