Gene	Name	Type
"YBL043W"	 "ECM13"	"protein_coding"
"YBL045C"	 "COR1"	"protein_coding"
"YBL046W"	 "PSY4"	"protein_coding"
"YBL047C"	 "EDE1"	"protein_coding"
"YBL048W"	 "RRT1"	"protein_coding"
"YBL049W"	 "MOH1"	"protein_coding"
"YBL050W"	 "SEC17"	"protein_coding"
"YBL051C"	 "PIN4"	"protein_coding"
"YBL052C"	 "SAS3"	"protein_coding"
"YBL054W"	 "TOD6"	"protein_coding"
"YBL056W"	 "PTC3"	"protein_coding"
"YBL057C"	 "PTH2"	"protein_coding"
"YBL058W"	 "SHP1"	"protein_coding"
"YBL059C-A"	 "CMC2"	"protein_coding"
"YBL060W"	 "YEL1"	"protein_coding"
"YBL061C"	 "SKT5"	"protein_coding"
"YBL063W"	 "KIP1"	"protein_coding"
"YBL064C"	 "PRX1"	"protein_coding"
"YBL066C"	 "SEF1"	"protein_coding"
"YBL067C"	 "UBP13"	"protein_coding"
"YBL068W"	 "PRS4"	"protein_coding"
"YBL069W"	 "AST1"	"protein_coding"
"YBL071W-A"	 "KTI11"	"protein_coding"
"YBL072C"	 "RPS8A"	"protein_coding"
"YBL074C"	 "AAR2"	"protein_coding"
"YBL075C"	 "SSA3"	"protein_coding"
"YBL076C"	 "ILS1"	"protein_coding"
"YBL078C"	 "ATG8"	"protein_coding"
"YBL079W"	 "NUP170"	"protein_coding"
"YBL080C"	 "PET112"	"protein_coding"
"YBL082C"	 "ALG3"	"protein_coding"
"YBL084C"	 "CDC27"	"protein_coding"
"YBL085W"	 "BOI1"	"protein_coding"
"YBL087C"	 "RPL23A"	"protein_coding"
"YBL088C"	 "TEL1"	"protein_coding"
"YBL089W"	 "AVT5"	"protein_coding"
"YBL090W"	 "MRP21"	"protein_coding"
"YBL091C"	 "MAP2"	"protein_coding"
"YBL091C-A"	 "SCS22"	"protein_coding"
"YBL092W"	 "RPL32"	"protein_coding"
"YBL093C"	 "ROX3"	"protein_coding"
"YBL097W"	 "BRN1"	"protein_coding"
"YBL098W"	 "BNA4"	"protein_coding"
"YBL099W"	 "ATP1"	"protein_coding"
"YBL101C"	 "ECM21"	"protein_coding"
"YBL102W"	 "SFT2"	"protein_coding"
"YBL103C"	 "RTG3"	"protein_coding"
"YBL104C"	 "SEA4"	"protein_coding"
"YBL105C"	 "PKC1"	"protein_coding"
"YBL106C"	 "SRO77"	"protein_coding"
"YBL107C"	 "MIX23"	"protein_coding"
"YBL108C-A"	 "PAU9"	"protein_coding"
"YBR001C"	 "NTH2"	"protein_coding"
"YBR002C"	 "RER2"	"protein_coding"
"YBR003W"	 "COQ1"	"protein_coding"
"YBR004C"	 "GPI18"	"protein_coding"
"YBR005W"	 "RCR1"	"protein_coding"
"YBR006W"	 "UGA2"	"protein_coding"
"YBR007C"	 "DSF2"	"protein_coding"
"YBR008C"	 "FLR1"	"protein_coding"
"YBR009C"	 "HHF1"	"protein_coding"
"YBR010W"	 "HHT1"	"protein_coding"
"YBR011C"	 "IPP1"	"protein_coding"
"YBR014C"	 "GRX7"	"protein_coding"
"YBR015C"	 "MNN2"	"protein_coding"
"YBR017C"	 "KAP104"	"protein_coding"
"YBR018C"	 "GAL7"	"protein_coding"
"YBR019C"	 "GAL10"	"protein_coding"
"YBR020W"	 "GAL1"	"protein_coding"
"YBR021W"	 "FUR4"	"protein_coding"
"YBR022W"	 "POA1"	"protein_coding"
"YBR023C"	 "CHS3"	"protein_coding"
"YBR024W"	 "SCO2"	"protein_coding"
"YBR025C"	 "OLA1"	"protein_coding"
"YBR026C"	 "ETR1"	"protein_coding"
"YBR028C"	 "YPK3"	"protein_coding"
"YBR029C"	 "CDS1"	"protein_coding"
"YBR030W"	 "RKM3"	"protein_coding"
"YBR031W"	 "RPL4A"	"protein_coding"
"YBR033W"	 "EDS1"	"protein_coding"
"YBR034C"	 "HMT1"	"protein_coding"
"YBR035C"	 "PDX3"	"protein_coding"
"YBR036C"	 "CSG2"	"protein_coding"
"YBR037C"	 "SCO1"	"protein_coding"
"YBR038W"	 "CHS2"	"protein_coding"
"YBR039W"	 "ATP3"	"protein_coding"
"YBR040W"	 "FIG1"	"protein_coding"
"YBR041W"	 "FAT1"	"protein_coding"
"YBR042C"	 "CST26"	"protein_coding"
"YBR043C"	 "QDR3"	"protein_coding"
"YBR044C"	 "TCM62"	"protein_coding"
"YBR045C"	 "GIP1"	"protein_coding"
"YBR046C"	 "ZTA1"	"protein_coding"
"YBR047W"	 "FMP23"	"protein_coding"
"YBR048W"	 "RPS11B"	"protein_coding"
"YBR049C"	 "REB1"	"protein_coding"
"YBR050C"	 "REG2"	"protein_coding"
"YBR052C"	 "RFS1"	"protein_coding"
"YBR054W"	 "YRO2"	"protein_coding"
"YBR055C"	 "PRP6"	"protein_coding"
"YBR057C"	 "MUM2"	"protein_coding"
"YBR058C"	 "UBP14"	"protein_coding"
"YBR058C-A"	 "TSC3"	"protein_coding"
"YBR059C"	 "AKL1"	"protein_coding"
"YBR060C"	 "ORC2"	"protein_coding"
"YBR061C"	 "TRM7"	"protein_coding"
"YBR065C"	 "ECM2"	"protein_coding"
"YBR066C"	 "NRG2"	"protein_coding"
"YBR067C"	 "TIP1"	"protein_coding"
"YBR068C"	 "BAP2"	"protein_coding"
"YBR069C"	 "TAT1"	"protein_coding"
"YBR070C"	 "ALG14"	"protein_coding"
"YBR072W"	 "HSP26"	"protein_coding"
"YBR073W"	 "RDH54"	"protein_coding"
"YBR074W"	 "PFF1"	"protein_coding"
"YBR076W"	 "ECM8"	"protein_coding"
"YBR077C"	 "SLM4"	"protein_coding"
"YBR078W"	 "ECM33"	"protein_coding"
"YBR079C"	 "RPG1"	"protein_coding"
"YBR080C"	 "SEC18"	"protein_coding"
"YBR081C"	 "SPT7"	"protein_coding"
"YBR082C"	 "UBC4"	"protein_coding"
"YBR083W"	 "TEC1"	"protein_coding"
"YBR084C-A"	 "RPL19A"	"protein_coding"
"YBR084W"	 "MIS1"	"protein_coding"
"YBR085W"	 "AAC3"	"protein_coding"
"YBR086C"	 "IST2"	"protein_coding"
"YBR087W"	 "RFC5"	"protein_coding"
"YBR088C"	 "POL30"	"protein_coding"
"YBR089C-A"	 "NHP6B"	"protein_coding"
"YBR091C"	 "TIM12"	"protein_coding"
"YBR092C"	 "PHO3"	"protein_coding"
"YBR093C"	 "PHO5"	"protein_coding"
"YBR094W"	 "PBY1"	"protein_coding"
"YBR095C"	 "RXT2"	"protein_coding"
"YBR097W"	 "VPS15"	"protein_coding"
"YBR098W"	 "MMS4"	"protein_coding"
"YBR101C"	 "FES1"	"protein_coding"
"YBR102C"	 "EXO84"	"protein_coding"
"YBR103W"	 "SIF2"	"protein_coding"
"YBR104W"	 "YMC2"	"protein_coding"
"YBR105C"	 "VID24"	"protein_coding"
"YBR106W"	 "PHO88"	"protein_coding"
"YBR107C"	 "IML3"	"protein_coding"
"YBR108W"	 "AIM3"	"protein_coding"
"YBR109C"	 "CMD1"	"protein_coding"
"YBR110W"	 "ALG1"	"protein_coding"
"YBR111C"	 "YSA1"	"protein_coding"
"YBR111W-A"	 "SUS1"	"protein_coding"
"YBR112C"	 "CYC8"	"protein_coding"
"YBR114W"	 "RAD16"	"protein_coding"
"YBR115C"	 "LYS2"	"protein_coding"
"YBR117C"	 "TKL2"	"protein_coding"
"YBR118W"	 "TEF2"	"protein_coding"
"YBR119W"	 "MUD1"	"protein_coding"
"YBR120C"	 "CBP6"	"protein_coding"
"YBR121C"	 "GRS1"	"protein_coding"
"YBR122C"	 "MRPL36"	"protein_coding"
"YBR123C"	 "TFC1"	"protein_coding"
"YBR125C"	 "PTC4"	"protein_coding"
"YBR126C"	 "TPS1"	"protein_coding"
"YBR127C"	 "VMA2"	"protein_coding"
"YBR128C"	 "ATG14"	"protein_coding"
"YBR129C"	 "OPY1"	"protein_coding"
"YBR130C"	 "SHE3"	"protein_coding"
"YBR131W"	 "CCZ1"	"protein_coding"
"YBR132C"	 "AGP2"	"protein_coding"
"YBR133C"	 "HSL7"	"protein_coding"
"YBR135W"	 "CKS1"	"protein_coding"
"YBR136W"	 "MEC1"	"protein_coding"
"YBR140C"	 "IRA1"	"protein_coding"
"YBR141C"	 "BMT2"	"protein_coding"
"YBR142W"	 "MAK5"	"protein_coding"
"YBR143C"	 "SUP45"	"protein_coding"
"YBR145W"	 "ADH5"	"protein_coding"
"YBR146W"	 "MRPS9"	"protein_coding"
"YBR147W"	 "RTC2"	"protein_coding"
"YBR148W"	 "YSW1"	"protein_coding"
"YBR149W"	 "ARA1"	"protein_coding"
"YBR150C"	 "TBS1"	"protein_coding"
"YBR151W"	 "APD1"	"protein_coding"
"YBR152W"	 "SPP381"	"protein_coding"
"YBR153W"	 "RIB7"	"protein_coding"
"YBR154C"	 "RPB5"	"protein_coding"
"YBR155W"	 "CNS1"	"protein_coding"
"YBR156C"	 "SLI15"	"protein_coding"
"YBR157C"	 "ICS2"	"protein_coding"
"YBR158W"	 "AMN1"	"protein_coding"
"YBR159W"	 "IFA38"	"protein_coding"
"YBR160W"	 "CDC28"	"protein_coding"
"YBR161W"	 "CSH1"	"protein_coding"
"YBR162C"	 "TOS1"	"protein_coding"
"YBR162W-A"	 "YSY6"	"protein_coding"
"YBR163W"	 "EXO5"	"protein_coding"
"YBR164C"	 "ARL1"	"protein_coding"
"YBR165W"	 "UBS1"	"protein_coding"
"YBR166C"	 "TYR1"	"protein_coding"
"YBR167C"	 "POP7"	"protein_coding"
"YBR168W"	 "PEX32"	"protein_coding"
"YBR169C"	 "SSE2"	"protein_coding"
"YBR170C"	 "NPL4"	"protein_coding"
"YBR171W"	 "SEC66"	"protein_coding"
"YBR172C"	 "SMY2"	"protein_coding"
"YBR173C"	 "UMP1"	"protein_coding"
"YBR175W"	 "SWD3"	"protein_coding"
"YBR176W"	 "ECM31"	"protein_coding"
"YBR177C"	 "EHT1"	"protein_coding"
"YBR179C"	 "FZO1"	"protein_coding"
"YBR180W"	 "DTR1"	"protein_coding"
"YBR181C"	 "RPS6B"	"protein_coding"
"YBR182C"	 "SMP1"	"protein_coding"
"YBR183W"	 "YPC1"	"protein_coding"
"YBR185C"	 "MBA1"	"protein_coding"
"YBR186W"	 "PCH2"	"protein_coding"
"YBR187W"	 "GDT1"	"protein_coding"
"YBR188C"	 "NTC20"	"protein_coding"
"YBR189W"	 "RPS9B"	"protein_coding"
"YBR191W"	 "RPL21A"	"protein_coding"
"YBR192W"	 "RIM2"	"protein_coding"
"YBR193C"	 "MED8"	"protein_coding"
"YBR194W"	 "AIM4"	"protein_coding"
"YBR195C"	 "MSI1"	"protein_coding"
"YBR196C"	 "PGI1"	"protein_coding"
"YBR198C"	 "TAF5"	"protein_coding"
"YBR199W"	 "KTR4"	"protein_coding"
"YBR200W"	 "BEM1"	"protein_coding"
"YBR201W"	 "DER1"	"protein_coding"
"YBR202W"	 "MCM7"	"protein_coding"
"YBR203W"	 "COS111"	"protein_coding"
"YBR204C"	 "LDH1"	"protein_coding"
"YBR205W"	 "KTR3"	"protein_coding"
"YBR207W"	 "FTH1"	"protein_coding"
"YBR208C"	 "DUR1,2"	"protein_coding"
"YBR210W"	 "ERV15"	"protein_coding"
"YBR211C"	 "AME1"	"protein_coding"
"YBR212W"	 "NGR1"	"protein_coding"
"YBR213W"	 "MET8"	"protein_coding"
"YBR214W"	 "SDS24"	"protein_coding"
"YBR215W"	 "HPC2"	"protein_coding"
"YBR216C"	 "YBP1"	"protein_coding"
"YBR217W"	 "ATG12"	"protein_coding"
"YBR218C"	 "PYC2"	"protein_coding"
"YBR221C"	 "PDB1"	"protein_coding"
"YBR222C"	 "PCS60"	"protein_coding"
"YBR223C"	 "TDP1"	"protein_coding"
"YBR227C"	 "MCX1"	"protein_coding"
"YBR228W"	 "SLX1"	"protein_coding"
"YBR229C"	 "ROT2"	"protein_coding"
"YBR230C"	 "OM14"	"protein_coding"
"YBR231C"	 "SWC5"	"protein_coding"
"YBR233W"	 "PBP2"	"protein_coding"
"YBR233W-A"	 "DAD3"	"protein_coding"
"YBR234C"	 "ARC40"	"protein_coding"
"YBR235W"	 "VHC1"	"protein_coding"
"YBR236C"	 "ABD1"	"protein_coding"
"YBR237W"	 "PRP5"	"protein_coding"
"YBR239C"	 "ERT1"	"protein_coding"
"YBR240C"	 "THI2"	"protein_coding"
"YBR243C"	 "ALG7"	"protein_coding"
"YBR244W"	 "GPX2"	"protein_coding"
"YBR245C"	 "ISW1"	"protein_coding"
"YBR246W"	 "RRT2"	"protein_coding"
"YBR247C"	 "ENP1"	"protein_coding"
"YBR248C"	 "HIS7"	"protein_coding"
"YBR249C"	 "ARO4"	"protein_coding"
"YBR250W"	 "SPO23"	"protein_coding"
"YBR251W"	 "MRPS5"	"protein_coding"
"YBR252W"	 "DUT1"	"protein_coding"
